epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,448.988,1.58532,5.47984,1.22197,0.01289,0.10695,0.02066,0.0177,1.33446,5.2327,1.02597,5.19133e-05,5.19133e-05,5.19133e-05
2,895.749,1.46193,5.10869,1.13598,0.02082,0.27627,0.04819,0.03511,1.38578,4.8239,1.0257,0.000101856,0.000101856,0.000101856
3,1352.47,1.50542,4.77737,1.14223,0.32356,0.07355,0.03105,0.0228,1.35107,4.63076,1.03064,0.000149739,0.000149739,0.000149739
4,1811.81,1.49933,4.49089,1.16146,0.44332,0.0765,0.02995,0.02269,1.39278,5.79019,1.05714,0.000146734,0.000146734,0.000146734
5,2279.47,1.55416,4.3093,1.15038,0.46702,0.0689,0.03742,0.02865,1.35016,5.16402,1.04458,0.000143645,0.000143645,0.000143645
6,2748.96,1.54707,4.14892,1.16972,0.36031,0.07043,0.05967,0.04959,1.31594,5.53703,1.03757,0.000140556,0.000140556,0.000140556
7,3213.8,1.47598,4.06166,1.14376,0.24551,0.10562,0.03711,0.02821,1.33545,5.99682,1.03578,0.000137467,0.000137467,0.000137467
8,3681.85,1.48899,3.92875,1.16201,0.27878,0.08793,0.0428,0.03295,1.3025,6.2149,1.03994,0.000134378,0.000134378,0.000134378
9,4146.81,1.46077,3.83934,1.1286,0.30374,0.09231,0.0615,0.05124,1.31594,6.14836,1.03863,0.00013129,0.00013129,0.00013129
10,4613.75,1.48288,3.83139,1.13684,0.34103,0.08436,0.04647,0.03666,1.29572,5.69398,1.01782,0.000128201,0.000128201,0.000128201
11,5080.53,1.42471,3.67805,1.11879,0.42129,0.0836,0.04426,0.03387,1.29874,5.14838,1.02336,0.000125112,0.000125112,0.000125112
12,5548.47,1.44749,3.69463,1.13372,0.22266,0.11411,0.04665,0.0365,1.27876,7.99937,1.0301,0.000122023,0.000122023,0.000122023
13,6013.4,1.41299,3.62421,1.12165,0.28356,0.12552,0.04912,0.03826,1.27825,7.77496,1.01983,0.000118934,0.000118934,0.000118934
14,6471.73,1.40731,3.63023,1.11637,0.25835,0.1174,0.0683,0.05478,1.27356,5.40176,1.01928,0.000115846,0.000115846,0.000115846
15,6927.81,1.40696,3.62518,1.09948,0.3358,0.13562,0.07599,0.06233,1.26642,4.99705,1.02085,0.000112757,0.000112757,0.000112757
